38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2020,,,2020,,,2020,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,1.55,1.61,-,3.28,3.46,-,2.72,2.85,-
SUMATERA UTARA,1.48,1.54,-,1.55,1.67,-,1.51,1.6,-
SUMATERA BARAT,0.74,0.8,-,1.07,1.17,-,0.92,0.99,-
RIAU,0.97,1.02,-,1.25,1.53,-,1.14,1.32,-
JAMBI,1.71,1.77,-,0.8,0.89,-,1.1,1.18,-
SUMATERA SELATAN,2.02,2.38,-,2.12,2.19,-,2.08,2.26,-
BENGKULU,2.44,2.49,-,2.38,2.52,-,2.4,2.51,-
LAMPUNG,1.22,1.3,-,2.2,2.48,-,1.9,2.11,-
KEP. BANGKA BELITUNG,0.44,0.64,-,0.79,0.94,-,0.6,0.77,-
KEP. RIAU,1.02,1.16,-,1.84,1.89,-,1.11,1.21,-
DKI JAKARTA,0.59,0.67,-,-,-,-,0.59,0.67,-
JAWA BARAT,1.02,1.18,-,1.49,1.63,-,1.13,1.28,-
JAWA TENGAH,1.53,1.61,-,1.92,2.07,-,1.72,1.84,-
DI YOGYAKARTA,1.86,1.98,-,2.16,2.37,-,1.94,2.08,-
JAWA TIMUR,1.23,1.37,-,2.5,2.69,-,1.82,1.97,-
BANTEN,0.84,0.98,-,1.38,1.54,-,0.99,1.14,-
BALI,0.47,0.55,-,0.65,0.75,-,0.52,0.61,-
NUSA TENGGARA BARAT,2.54,2.85,-,2.61,2.64,-,2.58,2.74,-
NUSA TENGGARA TIMUR,1.19,1.28,-,4.9,5.09,-,4.02,4.16,-
KALIMANTAN BARAT,0.75,0.81,-,1.14,1.31,-,1.01,1.13,-
KALIMANTAN TENGAH,0.82,0.91,-,0.79,0.86,-,0.8,0.88,-
KALIMANTAN SELATAN,0.66,0.76,-,0.74,0.78,-,0.7,0.77,-
KALIMANTAN TIMUR,0.66,0.68,-,1.74,1.8,-,1.02,1.03,-
KALIMANTAN UTARA,0.59,0.6,-,1.22,1.27,-,0.84,0.86,-
SULAWESI UTARA,0.78,0.9,-,1.54,1.6,-,1.14,1.23,-
SULAWESI TENGAH,1.68,1.83,-,2.96,3.2,-,2.58,2.78,-
SULAWESI SELATAN,0.69,0.81,-,2.17,2.32,-,1.53,1.65,-
SULAWESI TENGGARA,1.35,1.66,-,2.48,2.55,-,2.04,2.23,-
GORONTALO,0.39,0.43,-,4.34,4.72,-,2.67,2.86,-
SULAWESI BARAT,1.93,2,-,1.87,1.94,-,1.89,1.95,-
MALUKU,0.82,0.94,-,5.55,5.95,-,3.47,3.76,-
MALUKU UTARA,0.38,0.65,-,1.16,1.26,-,0.94,1.09,-
PAPUA BARAT,0.99,1.15,-,9.29,9.74,-,5.79,6.07,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.62,0.82,-,8.37,9.34,-,6.16,6.9,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.13,1.26,-,2.21,2.39,-,1.61,1.75,-